0.011453
0.068351,2.0,16.67,6,1.0,0.1
0.051362,2.0,12.5,8,1.0,0.1
0.037255,1.0,8.33,12,0.5,0.1
0.030955,2.0,16.67,6,1.0,0.25
0.023159,2.0,12.5,8,1.0,0.25
0.020028,1.0,10.0,10,0.5,0.25
0.017926,1.0,8.33,12,0.5,0.25
0.020712,2.0,16.67,6,1.0,0.5
0.014411,2.0,12.5,8,1.0,0.5
0.014172,1.0,10.0,10,0.5,0.5
0.012958,1.0,8.33,12,0.5,0.5
0.01627,2.0,16.67,6,1.0,1.0
0.011107,2.0,12.5,8,1.0,1.0
0.011521,1.0,10.0,10,0.5,1.0
0.0112,1.0,8.33,12,0.5,1.0
0.01517,2.0,16.67,6,1.0,1.5
0.009914,2.0,12.5,8,1.0,1.5
0.009949,1.0,10.0,10,0.5,1.5
0.010802,1.0,8.33,12,0.5,1.5
0.014052,2.0,16.67,6,1.0,2.0
0.008938,2.0,12.5,8,1.0,2.0
0.010823,1.0,10.0,10,0.5,2.0
0.01057,1.0,8.33,12,0.5,2.0
0.014228,2.0,16.67,6,1.0,2.5
0.009039,2.0,12.5,8,1.0,2.5
0.011101,1.0,10.0,10,0.5,2.5
0.010505,1.0,8.33,12,0.5,2.5
0.01405,2.0,16.67,6,1.0,3.0
0.008721,2.0,12.5,8,1.0,3.0
0.01124,1.0,10.0,10,0.5,3.0
0.011298,1.0,8.33,12,0.5,3.0
0.014304,2.0,16.67,6,1.0,3.5
0.009481,2.0,12.5,8,1.0,3.5
0.010593,1.0,10.0,10,0.5,3.5
0.010384,1.0,8.33,12,0.5,3.5
0.014537,2.0,16.67,6,1.0,4.0
0.008768,2.0,12.5,8,1.0,4.0
0.010643,1.0,10.0,10,0.5,4.0
0.010914,1.0,8.33,12,0.5,4.0
0.014567,2.0,16.67,6,1.0,4.5
0.009724,2.0,12.5,8,1.0,4.5
0.011407,1.0,10.0,10,0.5,4.5
0.011258,1.0,8.33,12,0.5,4.5
0.015452,2.0,16.67,6,1.0,5.0
0.009539,2.0,12.5,8,1.0,5.0
0.010935,1.0,10.0,10,0.5,5.0
0.011391,1.0,8.33,12,0.5,5.0
0.014895,2.0,16.67,6,1.0,5.5
0.009983,2.0,12.5,8,1.0,5.5
0.011064,1.0,10.0,10,0.5,5.5
0.01087,1.0,8.33,12,0.5,5.5
0.014559,2.0,16.67,6,1.0,6.0
0.009407,2.0,12.5,8,1.0,6.0
0.010937,1.0,10.0,10,0.5,6.0
0.011439,1.0,8.33,12,0.5,6.0
0.014887,2.0,16.67,6,1.0,6.5
0.009549,2.0,12.5,8,1.0,6.5
0.012414,1.0,10.0,10,0.5,6.5
0.012174,1.0,8.33,12,0.5,6.5
0.015251,2.0,16.67,6,1.0,7.0
0.009471,2.0,12.5,8,1.0,7.0
0.011869,1.0,10.0,10,0.5,7.0
0.011577,1.0,8.33,12,0.5,7.0
0.015675,2.0,16.67,6,1.0,7.5
0.010207,2.0,12.5,8,1.0,7.5
0.010785,1.0,10.0,10,0.5,7.5
0.011884,1.0,8.33,12,0.5,7.5
0.016189,2.0,16.67,6,1.0,8.0
0.009384,2.0,12.5,8,1.0,8.0
0.011165,1.0,10.0,10,0.5,8.0
0.011738,1.0,8.33,12,0.5,8.0
0.015692,2.0,16.67,6,1.0,8.5
0.010277,2.0,12.5,8,1.0,8.5
0.012393,1.0,10.0,10,0.5,8.5
0.012617,1.0,8.33,12,0.5,8.5
0.015953,2.0,16.67,6,1.0,9.0
0.010339,2.0,12.5,8,1.0,9.0
0.012459,1.0,10.0,10,0.5,9.0
0.012224,1.0,8.33,12,0.5,9.0
0.015689,2.0,16.67,6,1.0,9.5
0.010588,2.0,12.5,8,1.0,9.5
0.010955,1.0,10.0,10,0.5,9.5
0.011879,1.0,8.33,12,0.5,9.5
0.015758,2.0,16.67,6,1.0,10.0
0.010236,2.0,12.5,8,1.0,10.0
0.011453,1.0,10.0,10,0.5,10.0
0.01227,1.0,8.33,12,0.5,10.0
