IRB_ma,Av,Is_ma,Slew_Rate_Metodo1_V_per_us
0.1,6,0.5,0.3825326232508921
0.1,8,0.5,0.4777517273178471
0.25,6,0.5,0.3827646089123984
0.25,8,0.5,0.4784738671372034
0.5,6,0.5,0.38187625643478
0.5,8,0.5,0.4776555188581143
1.0,6,0.5,0.37963152102378334
1.0,8,0.5,0.47499809630452067
1.5,6,0.5,0.3771865068447121
1.5,8,0.5,0.4722651808003115
2.0,6,0.5,0.37479357536139635
2.0,8,0.5,0.4694640413991086
2.5,6,0.5,0.37237917926516656
2.5,8,0.5,0.4667251951561247
3.0,6,0.5,0.3700964439293351
3.0,8,0.5,0.46404864819689945
3.5,6,0.5,0.36775265345285285
3.5,8,0.5,0.46134266737215635
4.0,6,0.5,0.3653870005018608
4.0,8,0.5,0.458653204401199
4.500000000000001,6,0.5,0.363075947365795
4.500000000000001,8,0.5,0.4560718269642255
5.000000000000001,6,0.5,0.3608929050043832
5.000000000000001,8,0.5,0.45341229246116993
5.5,6,0.5,0.35861247677416336
5.5,8,0.5,0.4508589207728841
6.0,6,0.5,0.35638536366284823
6.0,8,0.5,0.44823324995865227
6.500000000000001,6,0.5,0.35420945462681375
6.500000000000001,8,0.5,0.44566631211753993
7.000000000000001,6,0.5,0.35201148663794135
7.000000000000001,8,0.5,0.44320202074281
7.5,6,0.5,0.3498295441746194
7.5,8,0.5,0.44066604013539673
8.0,6,0.5,0.34776822847930405
8.0,8,0.5,0.43822986524215224
8.5,6,0.5,0.3456150585308325
8.5,8,0.5,0.43572474719691695
9.000000000000002,6,0.5,0.3435121970608017
9.000000000000002,8,0.5,0.433234004490023
9.500000000000002,6,0.5,0.34149231206943714
9.500000000000002,8,0.5,0.4308844442733641
10.0,6,0.5,0.3394176361034691
10.0,8,0.5,0.4284654781703928
