IOUT
2.0743
3.5255
5.0225
6.5423
8.0756
9.6177
11.1658
12.7184
14.2743
15.8326
17.3929
18.9548
20.5178
22.0818
23.6465
25.2118
26.7775
28.3435
29.9097
31.4761
33.0425
34.609
36.1753
37.7416
39.3077
40.8737
