Av_target,Is,RE,RC,Av_Real,Percentual
2,2.5e-05,295676.6229883288,1200000.0,1.9927751807685468,99.63875903842734
2,5e-05,146942.9107974213,600000.0,1.9920765006681052,99.60382503340526
2,0.0001,72838.31149416442,300000.0,1.9909204289113802,99.54602144556901
2,0.0002,35971.45539871064,150000.0,1.9891534403086553,99.45767201543276
2,0.00030000000000000003,23751.948559251705,99999.99999999999,1.9877294215234542,99.38647107617271
2,0.0004,17669.15574708221,75000.0,1.9864893750092705,99.32446875046352
2,0.0005,14033.263510954335,60000.0,1.9853683174996917,99.26841587498458
2,0.0006000000000000001,11617.49436297724,49999.99999999999,1.984332302856373,99.21661514281865
2,0.0007000000000000001,9897.244257367463,42857.14285714285,1.983360980823079,99.16804904115395
2,0.0008,8610.72769935532,37500.0,1.9824410093484346,99.12205046742173
2,0.0009000000000000001,7612.770498054803,33333.33333333333,1.9815631093550223,99.07815546775112
2,0.001,6816.414072975335,30000.0,1.9807204489801222,99.03602244900611
2,0.0011,6166.40821022904,27272.727272727272,1.9799078996527442,98.99539498263721
2,0.0012000000000000001,5625.974279625855,24999.999999999996,1.979121494705538,98.9560747352769
2,0.0013000000000000002,5169.686250048365,23076.923076923074,1.978357998835989,98.91789994179945
2,0.0014000000000000002,4779.407302445427,21428.571428571424,1.9776148790302983,98.88074395151492
2,0.0015,4441.85442781405,20000.0,1.9768899794478045,98.84449897239023
2,0.0016,4147.077873541105,18750.0,1.9761815202457456,98.80907601228728
2,0.0017000000000000001,3887.47823298566,17647.05882352941,1.975488012729798,98.7744006364899
2,0.0018000000000000002,3657.1517995702166,16666.666666666664,1.9748081200201995,98.74040600100997
2,0.0019000000000000002,3451.443066086796,15789.473684210525,1.9741407883593354,98.70703941796677
2,0.002,3266.631755477168,15000.0,1.9734849911877461,98.6742495593873
4,2.5e-05,145676.62298832883,1200000.0,3.982972233477966,99.57430583694915
4,5e-05,71942.91079742128,600000.0,3.98036710458598,99.5091776146495
4,0.0001,35338.311494164416,300000.0,3.9763259579512322,99.4081489487808
4,0.0002,17221.45539871064,150000.0,3.9702393290067306,99.25598322516826
4,0.00030000000000000003,11251.948559251705,99999.99999999999,3.9653360636840773,99.13340159210193
4,0.0004,8294.15574708221,75000.0,3.9610567150852205,99.02641787713051
4,0.0005,6533.263510954335,60000.0,3.9571788684394704,98.92947171098676
4,0.0006000000000000001,5367.49436297724,49999.99999999999,3.953587425693783,98.83968564234458
4,0.0007000000000000001,4540.1014002246075,42857.14285714285,3.9502136330444415,98.75534082611104
4,0.0008,3923.22769935532,37500.0,3.94701258654635,98.67531466365875
4,0.0009000000000000001,3446.1038313881368,33333.33333333333,3.943952970673692,98.5988242668423
4,0.001,3066.414072975335,30000.0,3.9410120278077443,98.52530069519361
4,0.0011,2757.3173011381273,27272.727272727272,3.9381724846986543,98.45431211746636
4,0.0012000000000000001,2500.974279625855,24999.999999999996,3.9354209594947065,98.38552398736766
4,0.0013000000000000002,2285.0708654329774,23076.923076923074,3.93274674865971,98.31866871649275
4,0.0014000000000000002,2100.8358738739985,21428.571428571424,3.930141219444039,98.25353048610097
4,0.0015,1941.85442781405,20000.0,3.9275972450194985,98.18993112548746
4,0.0016,1803.327873541105,18750.0,3.9251088343768004,98.12772085942001
4,0.0017000000000000001,1681.595880044485,17647.05882352941,3.9226709325500764,98.06677331375191
4,0.0018000000000000002,1573.8184662368833,16666.666666666664,3.9202792276629594,98.00698069157399
4,0.0019000000000000002,1477.7588555604834,15789.473684210525,3.9179299656563416,97.94824914140854
4,0.002,1391.631755477168,15000.0,3.9156199349168475,97.89049837292119
6,2.5e-05,95676.62298832883,1200000.0,5.970501223049851,99.50835371749753
6,5e-05,46942.91079742128,600000.0,5.964835683642633,99.41392806071056
6,0.0001,22838.311494164416,300000.0,5.956216096130262,99.2702682688377
6,0.0002,10971.45539871064,150000.0,5.943294813814148,99.05491356356913
6,0.00030000000000000003,7085.281892585038,99999.99999999999,5.932889037915601,98.88148396526
6,0.0004,5169.15574708221,75000.0,5.92380288752139,98.73004812535649
6,0.0005,4033.263510954335,60000.0,5.915565084421104,98.5927514070184
6,0.0006000000000000001,3284.1610296439067,49999.99999999999,5.907932304726771,98.46553841211283
6,0.0007000000000000001,2754.387114510321,42857.14285714285,5.9007594727585655,98.34599121264276
6,0.0008,2360.72769935532,37500.0,5.89395186308046,98.232531051341
6,0.0009000000000000001,2057.2149424992476,33333.33333333333,5.887443510176382,98.1240585029397
6,0.001,1816.414072975335,30000.0,5.8811863659698815,98.01977276616469
6,0.0011,1620.95366477449,27272.727272727272,5.875144076163252,97.9190679360542
6,0.0012000000000000001,1459.3076129591884,24999.999999999996,5.869288430366737,97.82147383944562
6,0.0013000000000000002,1323.532403894515,23076.923076923074,5.863596897242118,97.72661495403531
6,0.0014000000000000002,1207.9787310168558,21428.571428571424,5.858051234918449,97.63418724864081
6,0.0015,1108.5210944807166,20000.0,5.852636417803581,97.54394029672633
6,0.0016,1022.077873541105,18750.0,5.847339817804098,97.4556636300683
6,0.0017000000000000001,946.3017623974266,17647.05882352941,5.842150813458602,97.36918022431004
6,0.0018000000000000002,879.3740217924388,16666.666666666664,5.8370602783273995,97.28433797212332
6,0.0019000000000000002,819.8641187183794,15789.473684210525,5.832060355550794,97.20100592584657
6,0.002,766.631755477168,15000.0,5.827144163221476,97.11906938702461
8,2.5e-05,70676.62298832883,1200000.0,7.955367114910672,99.4420889363834
8,5e-05,34442.91079742128,600000.0,7.9454929623405945,99.31866202925744
8,0.0001,16588.311494164416,300000.0,7.930613378433904,99.1326672304238
