Ganho,I_mA,RE,RC,Av_real,RB,Is_mA,THD
6,0.1,4033.263510954335,60000.0,5.915565084421104,144700.0,0.5,0.000997
8,0.1,2783.263510954335,60000.0,7.860662958794506,144700.0,0.5,0.001349
10,0.1,2033.263510954335,60000.0,9.792606565545723,144700.0,0.5,0.001721
12,0.1,1533.263510954335,60000.0,11.711528017489314,144700.0,0.5,0.002122
6,0.25,4033.263510954335,60000.0,5.915565084421104,57880.0,0.5,0.00085
8,0.25,2783.263510954335,60000.0,7.860662958794506,57880.0,0.5,0.001158
10,0.25,2033.263510954335,60000.0,9.792606565545723,57880.0,0.5,0.00149
12,0.25,1533.263510954335,60000.0,11.711528017489314,57880.0,0.5,0.001856
6,0.5,4033.263510954335,60000.0,5.915565084421104,28940.0,0.5,0.000624
8,0.5,2783.263510954335,60000.0,7.860662958794506,28940.0,0.5,0.000868
10,0.5,2033.263510954335,60000.0,9.792606565545723,28940.0,0.5,0.001144
12,0.5,1533.263510954335,60000.0,11.711528017489314,28940.0,0.5,0.001463
6,1.0,4033.263510954335,60000.0,5.915565084421104,14470.0,0.5,0.000442
8,1.0,2783.263510954335,60000.0,7.860662958794506,14470.0,0.5,0.000645
10,1.0,2033.263510954335,60000.0,9.792606565545723,14470.0,0.5,0.000888
12,1.0,1533.263510954335,60000.0,11.711528017489314,14470.0,0.5,0.001184
6,1.5,4033.263510954335,60000.0,5.915565084421104,9646.666666666666,0.5,0.000815
8,1.5,2783.263510954335,60000.0,7.860662958794506,9646.666666666666,0.5,0.001119
10,1.5,2033.263510954335,60000.0,9.792606565545723,9646.666666666666,0.5,0.001448
12,1.5,1533.263510954335,60000.0,11.711528017489314,9646.666666666666,0.5,0.001812
6,2.0,4033.263510954335,60000.0,5.915565084421104,7235.0,0.5,0.001352
8,2.0,2783.263510954335,60000.0,7.860662958794506,7235.0,0.5,0.001821
10,2.0,2033.263510954335,60000.0,9.792606565545723,7235.0,0.5,0.002304
12,2.0,1533.263510954335,60000.0,11.711528017489314,7235.0,0.5,0.00281
6,2.5,4033.263510954335,60000.0,5.915565084421104,5788.0,0.5,0.001926
8,2.5,2783.263510954335,60000.0,7.860662958794506,5788.0,0.5,0.002578
10,2.5,2033.263510954335,60000.0,9.792606565545723,5788.0,0.5,0.003241
12,2.5,1533.263510954335,60000.0,11.711528017489314,5788.0,0.5,0.003918
6,3.0,4033.263510954335,60000.0,5.915565084421104,4823.333333333333,0.5,0.002516
8,3.0,2783.263510954335,60000.0,7.860662958794506,4823.333333333333,0.5,0.003361
10,3.0,2033.263510954335,60000.0,9.792606565545723,4823.333333333333,0.5,0.004212
12,3.0,1533.263510954335,60000.0,11.711528017489314,4823.333333333333,0.5,0.005073
6,3.5,4033.263510954335,60000.0,5.915565084421104,4134.285714285715,0.5,0.003118
8,3.5,2783.263510954335,60000.0,7.860662958794506,4134.285714285715,0.5,0.00416
10,3.5,2033.263510954335,60000.0,9.792606565545723,4134.285714285715,0.5,0.005205
12,3.5,1533.263510954335,60000.0,11.711528017489314,4134.285714285715,0.5,0.006257
6,4.0,4033.263510954335,60000.0,5.915565084421104,3617.5,0.5,0.003729
8,4.0,2783.263510954335,60000.0,7.860662958794506,3617.5,0.5,0.004971
10,4.0,2033.263510954335,60000.0,9.792606565545723,3617.5,0.5,0.006215
12,4.0,1533.263510954335,60000.0,11.711528017489314,3617.5,0.5,0.007463
6,4.500000000000001,4033.263510954335,60000.0,5.915565084421104,3215.555555555555,0.5,0.004348
8,4.500000000000001,2783.263510954335,60000.0,7.860662958794506,3215.555555555555,0.5,0.005793
10,4.500000000000001,2033.263510954335,60000.0,9.792606565545723,3215.555555555555,0.5,0.007238
12,4.500000000000001,1533.263510954335,60000.0,11.711528017489314,3215.555555555555,0.5,0.008686
6,5.000000000000001,4033.263510954335,60000.0,5.915565084421104,2893.9999999999995,0.5,0.004973
8,5.000000000000001,2783.263510954335,60000.0,7.860662958794506,2893.9999999999995,0.5,0.006624
10,5.000000000000001,2033.263510954335,60000.0,9.792606565545723,2893.9999999999995,0.5,0.008274
12,5.000000000000001,1533.263510954335,60000.0,11.711528017489314,2893.9999999999995,0.5,0.009924
6,5.5,4033.263510954335,60000.0,5.915565084421104,2630.909090909091,0.5,0.005605
8,5.5,2783.263510954335,60000.0,7.860662958794506,2630.909090909091,0.5,0.007465
10,5.5,2033.263510954335,60000.0,9.792606565545723,2630.909090909091,0.5,0.009321
12,5.5,1533.263510954335,60000.0,11.711528017489314,2630.909090909091,0.5,0.011176
6,6.0,4033.263510954335,60000.0,5.915565084421104,2411.6666666666665,0.5,0.006243
8,6.0,2783.263510954335,60000.0,7.860662958794506,2411.6666666666665,0.5,0.008313
10,6.0,2033.263510954335,60000.0,9.792606565545723,2411.6666666666665,0.5,0.010379
12,6.0,1533.263510954335,60000.0,11.711528017489314,2411.6666666666665,0.5,0.012442
6,6.500000000000001,4033.263510954335,60000.0,5.915565084421104,2226.153846153846,0.5,0.006887
8,6.500000000000001,2783.263510954335,60000.0,7.860662958794506,2226.153846153846,0.5,0.00917
10,6.500000000000001,2033.263510954335,60000.0,9.792606565545723,2226.153846153846,0.5,0.011446
12,6.500000000000001,1533.263510954335,60000.0,11.711528017489314,2226.153846153846,0.5,0.013719
6,7.000000000000001,4033.263510954335,60000.0,5.915565084421104,2067.142857142857,0.5,0.007537
8,7.000000000000001,2783.263510954335,60000.0,7.860662958794506,2067.142857142857,0.5,0.010034
10,7.000000000000001,2033.263510954335,60000.0,9.792606565545723,2067.142857142857,0.5,0.012524
12,7.000000000000001,1533.263510954335,60000.0,11.711528017489314,2067.142857142857,0.5,0.015009
6,7.5,4033.263510954335,60000.0,5.915565084421104,1929.3333333333335,0.5,0.008192
8,7.5,2783.263510954335,60000.0,7.860662958794506,1929.3333333333335,0.5,0.010905
10,7.5,2033.263510954335,60000.0,9.792606565545723,1929.3333333333335,0.5,0.01361
12,7.5,1533.263510954335,60000.0,11.711528017489314,1929.3333333333335,0.5,0.016309
6,8.0,4033.263510954335,60000.0,5.915565084421104,1808.75,0.5,0.008852
8,8.0,2783.263510954335,60000.0,7.860662958794506,1808.75,0.5,0.011783
10,8.0,2033.263510954335,60000.0,9.792606565545723,1808.75,0.5,0.014705
12,8.0,1533.263510954335,60000.0,11.711528017489314,1808.75,0.5,0.01762
6,8.5,4033.263510954335,60000.0,5.915565084421104,1702.3529411764705,0.5,0.009517
8,8.5,2783.263510954335,60000.0,7.860662958794506,1702.3529411764705,0.5,0.012668
10,8.5,2033.263510954335,60000.0,9.792606565545723,1702.3529411764705,0.5,0.015809
12,8.5,1533.263510954335,60000.0,11.711528017489314,1702.3529411764705,0.5,0.018941
6,9.000000000000002,4033.263510954335,60000.0,5.915565084421104,1607.7777777777776,0.5,0.010187
8,9.000000000000002,2783.263510954335,60000.0,7.860662958794506,1607.7777777777776,0.5,0.013559
10,9.000000000000002,2033.263510954335,60000.0,9.792606565545723,1607.7777777777776,0.5,0.01692
12,9.000000000000002,1533.263510954335,60000.0,11.711528017489314,1607.7777777777776,0.5,0.020272
6,9.500000000000002,4033.263510954335,60000.0,5.915565084421104,1523.1578947368419,0.5,0.010861
8,9.500000000000002,2783.263510954335,60000.0,7.860662958794506,1523.1578947368419,0.5,0.014456
10,9.500000000000002,2033.263510954335,60000.0,9.792606565545723,1523.1578947368419,0.5,0.01804
12,9.500000000000002,1533.263510954335,60000.0,11.711528017489314,1523.1578947368419,0.5,0.021613
6,10.0,4033.263510954335,60000.0,5.915565084421104,1447.0,0.5,0.01154
8,10.0,2783.263510954335,60000.0,7.860662958794506,1447.0,0.5,0.01536
10,10.0,2033.263510954335,60000.0,9.792606565545723,1447.0,0.5,0.019166
12,10.0,1533.263510954335,60000.0,11.711528017489314,1447.0,0.5,0.022962
