Slew Rate (V/us),R1_VBE
3.52221399156122,1500.0
3.5184894170397416,2000.0
3.5131129659385207,2500.0
3.506764090937479,3000.0
3.500100698683714,3500.0
3.493259752666332,4000.0
3.4860887276272767,4500.0
3.478873642740059,5000.0
3.47135685781989,5500.0
3.4637607917252247,6000.0
3.456032664866053,6500.0
3.4481104262667563,7000.0
3.439931403125435,7500.0
3.4316942247203217,8000.0
3.4232087909598663,8500.0
3.414755258631134,9000.0
3.4060588265411735,9500.0
3.397243120286927,10000.0
3.388097561845712,10500.0
3.3788816470432614,11000.0
3.3695401266716045,11500.0
3.3599893756550627,12000.0
3.3500699827453007,12500.0
3.340106571533044,13000.0
3.330007008180965,13500.0
3.3195934654675328,14000.0
