IRB_ma,Av,Is_ma,Slew_Rate_Metodo1_V_per_us
0.1,6,1.0,0.5863347437387618
0.1,8,1.0,0.6931642316811912
0.1,10,0.5,0.5334800072167541
0.1,12,0.5,0.6004417604818306
0.25,6,1.0,0.5874671741429619
0.25,8,1.0,0.6950772402308353
0.25,10,0.5,0.5345434104407981
0.25,12,0.5,0.6018230993076144
0.5,6,1.0,0.5867944421559986
0.5,8,1.0,0.6948693998183099
0.5,10,0.5,0.533800404847625
0.5,12,0.5,0.6012055817921084
1.0,6,1.0,0.5841605278658184
1.0,8,1.0,0.6922795364513096
1.0,10,0.5,0.5313167018478642
1.0,12,0.5,0.5987048619371749
1.5,6,1.0,0.5812732239369685
1.5,8,1.0,0.6892729500939779
1.5,10,0.5,0.5287206395286018
1.5,12,0.5,0.5959771326623992
2.0,6,1.0,0.5782274016866401
2.0,8,1.0,0.6862367996643917
2.0,10,0.5,0.5260284089373386
2.0,12,0.5,0.5932715784925298
2.5,6,1.0,0.5752830395598907
2.5,8,1.0,0.683121458906823
2.5,10,0.5,0.5234413554142303
2.5,12,0.5,0.5905273605806921
3.0,6,1.0,0.5723536384206925
3.0,8,1.0,0.6801115205840464
3.0,10,0.5,0.5207736813354668
3.0,12,0.5,0.5878442017269628
3.5,6,1.0,0.5694354834918336
3.5,8,1.0,0.6771137199104439
3.5,10,0.5,0.5182120790588582
3.5,12,0.5,0.585130077267877
4.0,6,1.0,0.5665322896371076
4.0,8,1.0,0.6741244419820702
4.0,10,0.5,0.5156152851549575
4.0,12,0.5,0.5824641146390855
4.500000000000001,6,1.0,0.5636428663280052
4.500000000000001,8,1.0,0.6710608770896218
4.500000000000001,10,0.5,0.5129864698838124
4.500000000000001,12,0.5,0.5797660408772849
5.000000000000001,6,1.0,0.5607676460263025
5.000000000000001,8,1.0,0.6681751952898934
5.000000000000001,10,0.5,0.5105060522772847
5.000000000000001,12,0.5,0.5771273638742019
5.5,6,1.0,0.5579064274071264
5.5,8,1.0,0.6652139156040506
5.5,10,0.5,0.5079020595120154
5.5,12,0.5,0.5744522438687664
6.0,6,1.0,0.5551435915929123
6.0,8,1.0,0.6622634313998987
6.0,10,0.5,0.5054438386083691
6.0,12,0.5,0.5718834088398863
6.500000000000001,6,1.0,0.5524838208652917
6.500000000000001,8,1.0,0.6594160663116775
6.500000000000001,10,0.5,0.5029093210001151
6.500000000000001,12,0.5,0.5692298010474437
7.000000000000001,6,1.0,0.5497456373374505
7.000000000000001,8,1.0,0.6565582469906108
7.000000000000001,10,0.5,0.5004742526136028
7.000000000000001,12,0.5,0.5666822386493411
7.5,6,1.0,0.5470184943068743
7.5,8,1.0,0.6536528363902211
7.5,10,0.5,0.4979639468519021
7.5,12,0.5,0.5641451797412266
8.0,6,1.0,0.544305602660539
8.0,8,1.0,0.6509030949091048
8.0,10,0.5,0.49555275146105776
8.0,12,0.5,0.5615715060280798
8.5,6,1.0,0.5416025815425612
8.5,8,1.0,0.64819770661764
8.5,10,0.5,0.4930662422324897
8.5,12,0.5,0.5590559254360012
9.000000000000002,6,1.0,0.5389136758050734
9.000000000000002,8,1.0,0.6453891064502502
9.000000000000002,10,0.5,0.4906785445917304
9.000000000000002,12,0.5,0.5564581357617471
9.500000000000002,6,1.0,0.5362356394144918
9.500000000000002,8,1.0,0.6425911895995527
9.500000000000002,10,0.5,0.48825936171169004
9.500000000000002,12,0.5,0.5540099500128182
10.0,6,1.0,0.5336512031601585
10.0,8,1.0,0.6398879247400997
10.0,10,0.5,0.4859377212621139
10.0,12,0.5,0.55157344046345
